law_nm,article_number,hang_number,article_title,structural_index,entity_type,concept,subject,action,object,legal_force,full_text,cross_law_refs,intra_law_refs,pipeline_version,generator_model,evaluator_model,eval_score,retry_count
금융실명법,제3조,6,금융실명거래,"[None, None, 3, 6]",ACTOR,금융실명거래 설명 의무,금융회사등,설명하여야 한다,주요 내용,MANDATORY,제3조(금융실명거래) ⑥ 금융회사등은 금융위원회가 정하는 방법에 따라 제3항의 주요 내용을 거래자에게 설명하여야 한다.,,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.8,0
금융실명법,제3조,7,금융실명거래,"[None, None, 3, 7]",PROCEDURE,실명거래 확인 방법 및 절차,대통령령,정한다,실명거래의 확인 방법 및 절차,PERMISSIVE,"제3조(금융실명거래) ⑦ 실명거래의 확인 방법 및 절차, 확인 업무의 위탁과 그 밖에 필요한 사항은 대통령령으로 정한다.",,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,1
금융실명법,제4조,1,금융거래의 비밀보장,"[None, None, 4, 1]",REGULATION,금융거래의 비밀보장,금융회사등에 종사하는 자,거래정보등의 제공 또는 누설 금지,거래정보등,PROHIBITIVE,"제4조(금융거래의 비밀보장) ① 금융회사등에 종사하는 자는 명의인(신탁의 경우에는 위탁자 또는 수익자를 말한다)의 서면상의 요구나 동의를 받지 아니하고는 그 금융거래의 내용에 대한 정보 또는 자료(이하 “거래정보등”이라 한다)를 타인에게 제공하거나 누설하여서는 아니 되며, 누구든지 거짓 또는 그 밖의 부정한 수단이나 방법으로 금융회사등에 종사하는 자에게 거래정보등의 제공을 요구하여서는 아니 된다. 다만, 다음 각 호의 어느 하나에 해당하는 경우로서 그 사용 목적에 필요한 최소한의 범위에서 거래정보등을 제공하거나 그 제공을 요구하는 경우에는 그러하지 아니하다. 1. 법원의 제출명령 또는 법관이 발부한 영장에 따른 거래정보등의 제공 2. 조세에 관한 법률에 따라 제출의무가 있는 과세자료 등의 제공과 소관 관서의 장이 상속ㆍ증여 재산의 확인, 조세탈루의 혐의를 인정할 만한 명백한 자료의 확인, 체납자(체납액 5천만원 이상인 체납자의 경우에는 체납자의 재산을 은닉한 혐의가 있다고 인정되는 다음 각 목에 해당하는 사람을 포함한다)의 재산조회, 「국세징수법」 제9조제1항 각 호의 어느 하나에 해당하는 사유로 조세에 관한 법률에 따른 질문ㆍ조사를 위하여 필요로 하는 거래정보등의 제공 가. 체납자의 배우자(사실상 혼인관계에 있는 사람을 포함한다) 나. 체납자의 6촌 이내 혈족 다. 체납자의 4촌 이내 인척 3. 「국정감사 및 조사에 관한 법률」에 따른 국정조사에 필요한 자료로서 해당 조사위원회의 의결에 따른 금융감독원장(「금융위원회의 설치 등에 관한 법률」 제24조에 따른 금융감독원의 원장을 말한다. 이하 같다) 및 예금보험공사사장(「예금자보호법」 제3조에 따른 예금보험공사의 사장을 말한다. 이하 같다)의 거래정보등의 제공 4. 금융위원회(증권시장ㆍ파생상품시장의 불공정거래조사의 경우에는 증권선물위원회를 말한다. 이하 이 조에서 같다), 금융감독원장 및 예금보험공사사장이 금융회사등에 대한 감독ㆍ검사를 위하여 필요로 하는 거래정보등의 제공으로서 다음 각 목의 어느 하나에 해당하는 경우와 제3호에 따라 해당 조사위원회에 제공하기 위한 경우 가. 내부자거래 및 불공정거래행위 등의 조사에 필요한 경우 나. 고객예금 횡령, 무자원(無資源) 입금 기표(記票) 후 현금 인출 등 금융사고의 적발에 필요한 경우 다. 구속성예금 수입(受入), 자기앞수표 선발행(先發行) 등 불건전 금융거래행위의 조사에 필요한 경우 라. 금융실명거래 위반, 장부 외 거래, 출자자 대출, 동일인 한도 초과 등 법령 위반행위의 조사에 필요한 경우 마. 「예금자보호법」에 따른 예금보험업무 및 「금융산업의 구조개선에 관한 법률」에 따라 예금보험공사사장이 예금자표(預金者表)의 작성업무를 수행하기 위하여 필요한 경우 5. 동일한 금융회사등의 내부 또는 금융회사등 상호간에 업무상 필요한 거래정보등의 제공 6. 금융위원회 및 금융감독원장이 그에 상응하는 업무를 수행하는 외국 금융감독기관(국제금융감독기구를 포함한다. 이하 같다)과 다음 각 목의 사항에 대한 업무협조를 위하여 필요로 하는 거래정보등의 제공 가. 금융회사등 및 금융회사등의 해외지점ㆍ현지법인 등에 대한 감독ㆍ검사 나. 「자본시장과 금융투자업에 관한 법률」 제437조에 따른 정보교환 및 조사 등의 협조 7. 「자본시장과 금융투자업에 관한 법률」에 따라 거래소허가를 받은 거래소(이하 “거래소”라 한다)가 다음 각 목의 경우에 필요로 하는 투자매매업자ㆍ투자중개업자가 보유한 거래정보등의 제공 가. 「자본시장과 금융투자업에 관한 법률」 제404조에 따른 이상거래(異常去來)의 심리 또는 회원의 감리를 수행하는 경우 나. 이상거래의 심리 또는 회원의 감리와 관련하여 거래소에 상응하는 업무를 수행하는 외국거래소 등과 협조하기 위한 경우. 다만, 금융위원회의 사전 승인을 받은 경우로 한정한다. 8. 그 밖에 법률에 따라 불특정 다수인에게 의무적으로 공개하여야 하는 것으로서 해당 법률에 따른 거래정보등의 제공",「국세징수법」 제9조제1항; 「국정감사 및 조사에 관한 법률」; 「금융위원회의 설치 등에 관한 법률」 제24조; 「예금자보호법」 제3조; 「예금자보호법」; 「금융산업의 구조개선에 관한 법률」; 「자본시장과 금융투자업에 관한 법률」 제437조; 「자본시장과 금융투자업에 관한 법률」; 「자본시장과 금융투자업에 관한 법률」 제404조,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.8,2
금융실명법,제4조,2,금융거래의 비밀보장,"[None, None, 4, 2]",PROCEDURE,금융거래정보 제공 요구 절차,거래정보등의 제공을 요구하는 자,요구하여야 한다,금융회사등의 특정 점포,MANDATORY,"제4조(금융거래의 비밀보장) ② 제1항제1호부터 제4호까지 또는 제6호부터 제8호까지의 규정에 따라 거래정보등의 제공을 요구하는 자는 다음 각 호의 사항이 포함된 금융위원회가 정하는 표준양식에 의하여 금융회사등의 특정 점포에 이를 요구하여야 한다. 다만, 제1항제1호에 따라 거래정보등의 제공을 요구하거나 같은 항 제2호에 따라 거래정보등의 제공을 요구하는 경우로서 부동산(부동산에 관한 권리를 포함한다. 이하 이 항에서 같다)의 보유기간, 보유 수, 거래 규모 및 거래 방법 등 명백한 자료에 의하여 대통령령으로 정하는 부동산거래와 관련한 소득세 또는 법인세의 탈루혐의가 인정되어 그 탈루사실의 확인이 필요한 자(해당 부동산 거래를 알선ㆍ중개한 자를 포함한다)에 대한 거래정보등의 제공을 요구하는 경우 또는 체납액 1천만원 이상인 체납자의 재산조회를 위하여 필요한 거래정보등의 제공을 대통령령으로 정하는 바에 따라 요구하는 경우에는 거래정보등을 보관 또는 관리하는 부서에 이를 요구할 수 있다. 1. 명의인의 인적사항 2. 요구 대상 거래기간 3. 요구의 법적 근거 4. 사용 목적 5. 요구하는 거래정보등의 내용 6. 요구하는 기관의 담당자 및 책임자의 성명과 직책 등 인적사항",,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.8,1
금융실명법,제4조,3,금융거래의 비밀보장,"[None, None, 4, 3]",REGULATION,금융거래 정보 제공 요구 거부 의무,금융회사등에 종사하는 자,거부,거래정보등의 제공 요구,MANDATORY,제4조(금융거래의 비밀보장) ③ 금융회사등에 종사하는 자는 제1항 또는 제2항을 위반하여 거래정보등의 제공을 요구받은 경우에는 그 요구를 거부하여야 한다.,,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.7,3
금융실명법,제4조,4,금융거래의 비밀보장,"[None, None, 4, 4]",REGULATION,금융거래정보의 비밀보장 및 제공 제한,거래정보등을 알게 된 자,제공·누설 또는 목적 외 이용 금지,거래정보등,PROHIBITIVE,"제4조(금융거래의 비밀보장) ④ 제1항 각 호에 따라 거래정보등을 알게 된 자는 그 알게 된 거래정보등을 타인에게 제공 또는 누설하거나 그 목적 외의 용도로 이용하여서는 아니 되며, 누구든지 거래정보등을 알게 된 자에게 거짓 또는 그 밖의 부정한 수단이나 방법으로 그 거래정보등의 제공을 요구하여서는 아니 된다. 다만, 금융위원회 또는 금융감독원장이 제1항제4호 및 제6호에 따라 알게 된 거래정보등을 외국 금융감독기관에 제공하거나 거래소가 제1항제7호에 따라 외국거래소 등에 거래정보등을 제공하는 경우에는 그러하지 아니하다.",,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,1
금융실명법,제4조,5,금융거래의 비밀보장,"[None, None, 4, 5]",REGULATION,거래정보등의 제공 및 누설 금지,거래정보등을 취득한 자,제공 또는 누설하여서는 아니 된다,거래정보등,PROHIBITIVE,제4조(금융거래의 비밀보장) ⑤ 제1항 또는 제4항을 위반하여 제공 또는 누설된 거래정보등을 취득한 자(그로부터 거래정보등을 다시 취득한 자를 포함한다)는 그 위반사실을 알게 된 경우 그 거래정보등을 타인에게 제공 또는 누설하여서는 아니 된다.,,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,2
금융실명법,제4조,6,금융거래의 비밀보장,"[None, None, 4, 6]",PROCEDURE,거래정보등의 제공 요구 시 표준양식 사용,금융위원회,정함,표준양식,MANDATORY,제4조(금융거래의 비밀보장) ⑥ 다음 각 호의 법률의 규정에 따라 거래정보등의 제공을 요구하는 경우에는 해당 법률의 규정에도 불구하고 제2항에 따른 금융위원회가 정한 표준양식으로 하여야 한다. 1. 「감사원법」 제27조제2항 2. 「정치자금법」 제52조제2항 3. 「공직자윤리법」 제8조제5항 4. 삭제 5. 「상속세 및 증여세법」 제83조제1항 6. 「특정 금융거래정보의 보고 및 이용 등에 관한 법률」 제13조제3항 7. 「과세자료의 제출 및 관리에 관한 법률」 제6조제1항,「감사원법」 제27조제2항; 「정치자금법」 제52조제2항; 「공직자윤리법」 제8조제5항; 「상속세 및 증여세법」 제83조제1항; 「특정 금융거래정보의 보고 및 이용 등에 관한 법률」 제13조제3항; 「과세자료의 제출 및 관리에 관한 법률」 제6조제1항,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.9,1
금융실명법,제4조의2,1,거래정보등의 제공사실의 통보,"[None, None, 4, 1]",PROCEDURE,거래정보등의 제공사실 통보,금융회사등,서면으로 통보,거래정보등의 주요 내용,MANDATORY,"제4조의2(거래정보등의 제공사실의 통보) ① 금융회사등은 명의인의 서면상의 동의를 받아 거래정보등을 제공한 경우나 제4조제1항제1호ㆍ제2호(조세에 관한 법률에 따라 제출의무가 있는 과세자료 등의 경우는 제외한다)ㆍ제3호 및 제8호에 따라 거래정보등을 제공한 경우에는 제공한 날(제2항 또는 제3항에 따라 통보를 유예한 경우에는 통보유예기간이 끝난 날)부터 10일 이내에 제공한 거래정보등의 주요 내용, 사용 목적, 제공받은 자 및 제공일 등을 명의인에게 서면으로 통보하여야 한다.",,제4조제1항제1호,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.7,3
금융실명법,제4조의2,2,거래정보등의 제공사실의 통보,"[None, None, 4, 2]",PROCEDURE,거래정보등의 제공사실 통보 유예,금융회사등,유예하여야 한다,통보,MANDATORY,"제4조의2(거래정보등의 제공사실의 통보) ② 금융회사등은 통보 대상 거래정보등의 요구자로부터 다음 각 호의 어느 하나에 해당하는 사유로 통보의 유예를 서면으로 요청받은 경우에는 제1항에도 불구하고 유예요청기간(제2호 또는 제3호의 사유로 요청을 받은 경우로서 그 유예요청기간이 6개월 이상인 경우에는 6개월) 동안 통보를 유예하여야 한다. 1. 해당 통보가 사람의 생명이나 신체의 안전을 위협할 우려가 있는 경우 2. 해당 통보가 증거 인멸, 증인 위협 등 공정한 사법절차의 진행을 방해할 우려가 명백한 경우 3. 해당 통보가 질문ㆍ조사 등의 행정절차의 진행을 방해하거나 과도하게 지연시킬 우려가 명백한 경우",,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.8,0
금융실명법,제4조의2,3,거래정보등의 제공사실의 통보,"[None, None, 4, 3]",PROCEDURE,거래정보등의 제공사실 통보 유예,금융회사등,통보를 유예하여야 한다,거래정보등의 제공사실 통보,MANDATORY,"제4조의2(거래정보등의 제공사실의 통보) ③ 금융회사등은 거래정보등의 요구자가 제2항 각 호의 어느 하나에 해당하는 사유가 지속되고 있음을 제시하고 통보의 유예를 서면으로 반복하여 요청하는 경우에는 요청받은 날부터 두 차례만(제2항제1호의 경우는 제외한다) 매 1회 3개월의 범위에서 유예요청기간 동안 통보를 유예하여야 한다. 다만, 제4조제1항제2호(조세에 관한 법률에 따라 제출의무가 있는 과세자료 등의 경우는 제외한다)에 따른 거래정보등의 제공을 요구하는 자가 통보의 유예를 요청하는 경우에는 요청을 받은 때마다 그 날부터 6개월의 범위에서 유예요청기간 동안 통보를 유예하여야 한다.",,제4조제1항제2호,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0,3
금융실명법,제4조의2,4,거래정보등의 제공사실의 통보,"[None, None, 4, 4]",REGULATION,거래정보 제공사실 통보 비용 부담,거래정보 제공 요구자,부담한다,비용,MANDATORY,제4조의2(거래정보등의 제공사실의 통보) ④ 제1항에 따라 금융회사등이 거래정보등의 제공사실을 명의인에게 통보하는 경우에 드는 비용은 대통령령으로 정하는 바에 따라 제4조제1항에 따라 거래정보등의 제공을 요구하는 자가 부담한다.,,제4조제1항,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.5,3
금융실명법,제4조의2,5,거래정보등의 제공사실의 통보,"[None, None, 4, 5]",PROCEDURE,거래정보등의 제공사실 통보 적용 범위,,규정을 적용함,제1항부터 제4항까지의 규정,MANDATORY,제4조의2(거래정보등의 제공사실의 통보) ⑤ 다음 각 호의 법률의 규정에 따라 거래정보등의 제공을 요구하는 경우에는 제1항부터 제4항까지의 규정을 적용한다. 1. 「감사원법」 제27조제2항 2. 「정치자금법」 제52조제2항 3. 「공직자윤리법」 제8조제5항 4. 삭제 5. 「상속세 및 증여세법」 제83조제1항 6. 「과세자료의 제출 및 관리에 관한 법률」 제6조제1항,「감사원법」 제27조제2항; 「정치자금법」 제52조제2항; 「공직자윤리법」 제8조제5항; 「상속세 및 증여세법」 제83조제1항; 「과세자료의 제출 및 관리에 관한 법률」 제6조제1항,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,1,1
금융실명법,제4조의3,1,거래정보등의 제공내용의 기록ㆍ관리,"[None, None, 4, 1]",REGULATION,거래정보등의 제공내용 기록 및 관리,금융회사등,기록ㆍ관리하여야 한다,거래정보등의 제공내용,MANDATORY,"제4조의3(거래정보등의 제공내용의 기록ㆍ관리) ① 금융회사등은 명의인의 서면상의 동의를 받아 명의인 외의 자에게 거래정보등을 제공한 경우나 제4조제1항제1호ㆍ제2호(조세에 관한 법률에 따라 제출의무가 있는 과세자료 등의 경우는 제외한다)ㆍ제3호ㆍ제4호ㆍ제6호ㆍ제7호 또는 제8호에 따라 명의인 외의 자로부터 거래정보등의 제공을 요구받거나 명의인 외의 자에게 거래정보등을 제공한 경우에는 다음 각 호의 사항이 포함된 금융위원회가 정하는 표준양식으로 기록ㆍ관리하여야 한다. 1. 요구자(담당자 및 책임자)의 인적사항, 요구하는 내용 및 요구일 1의2. 사용 목적(명의인의 서면상의 동의를 받아 명의인 외의 자에게 거래정보등을 제공한 경우는 제외한다) 2. 제공자(담당자 및 책임자)의 인적사항 및 제공일 3. 제공된 거래정보등의 내용 4. 제공의 법적 근거 5. 명의인에게 통보한 날 6. 통보를 유예한 경우 통보유예를 한 날, 사유, 기간 및 횟수",,제4조제1항제1호,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.7,3
금융실명법,제4조의3,2,거래정보등의 제공내용의 기록ㆍ관리,"[None, None, 4, 2]",REGULATION,거래정보등의 제공기록 보관,,보관하여야 한다,기록,MANDATORY,제4조의3(거래정보등의 제공내용의 기록ㆍ관리) ② 제1항에 따른 기록은 거래정보등을 제공한 날(제공을 거부한 경우에는 그 제공을 요구받은 날)부터 5년간 보관하여야 한다.,,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.3,3
금융실명법,제4조의3,3,거래정보등의 제공내용의 기록ㆍ관리,"[None, None, 4, 3]",PROCEDURE,거래정보등의 제공 요구 시 적용 규정,,적용한다,제1항 및 제2항,MANDATORY,제4조의3(거래정보등의 제공내용의 기록ㆍ관리) ③ 다음 각 호의 법률의 규정에 따라 거래정보등의 제공을 요구하는 경우에는 제1항 및 제2항을 적용한다.<개정 2020. 3. 24.> 1. 「감사원법」 제27조제2항 2. 「정치자금법」 제52조제2항 3. 「공직자윤리법」 제8조제5항 4. 삭제<2020. 12. 29.> 5. 「상속세 및 증여세법」 제83조제1항 6. 「특정 금융거래정보의 보고 및 이용 등에 관한 법률」 제13조제3항 7. 「과세자료의 제출 및 관리에 관한 법률」 제6조제1항 [전문개정 2011. 7. 14.],「감사원법」 제27조제2항; 「정치자금법」 제52조제2항; 「공직자윤리법」 제8조제5항; 「상속세 및 증여세법」 제83조제1항; 「특정 금융거래정보의 보고 및 이용 등에 관한 법률」 제13조제3항; 「과세자료의 제출 및 관리에 관한 법률」 제6조제1항,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.6,3
금융실명법,제4조의4,,금융위원회의 업무,"[None, None, 4, None]",ACTOR,금융위원회의 업무 및 보고 의무,금융위원회,보고하여야 한다,분석 결과,MANDATORY,"제4조의4(금융위원회의 업무) 금융위원회는 이 법 또는 다른 법률에 따른 거래정보등의 요구, 제공, 통보 및 통보유예 현황을 파악하여 분석하고 그 결과를 매년 정기국회에 보고하여야 한다. <개정 2013. 8. 13., 2018. 12. 11.> [전문개정 2011. 7. 14.]",,제4조의4,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.7,3
금융실명법,제5조,,비실명자산소득에 대한 차등과세,"[None, None, 5, None]",REGULATION,비실명자산소득에 대한 차등과세,,원천징수세율 적용 및 합산 제외,이자 및 배당소득,MANDATORY,"제5조(비실명자산소득에 대한 차등과세) 실명에 의하지 아니하고 거래한 금융자산에서 발생하는 이자 및 배당소득에 대하여는 소득세의 원천징수세율을 100분의 90{특정채권에서 발생하는 이자소득의 경우에는 100분의 20(2001년 1월 1일 이후부터는 100분의 15)}으로 하며, 「소득세법」 제14조제2항에 따른 종합소득과세표준의 계산에는 이를 합산하지 아니한다. [전문개정 2011. 7. 14.]",「소득세법」 제14조제2항,제5조,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.7,3
금융실명법,제5조의2,1,행정처분,"[None, None, 5, 1]",ACTOR,금융회사등의 법령 위반에 대한 행정처분,금융위원회,조치를 하거나 조치를 요구할 수 있음,금융회사등,PERMISSIVE,제5조의2(행정처분) ① 금융위원회는 금융회사등이 이 법 또는 이 법에 따른 명령이나 지시를 위반한 사실을 발견하였을 때에는 다음 각 호의 어느 하나에 해당하는 조치를 하거나 해당 금융회사등의 영업에 관한 행정제재처분의 권한을 가진 관계 행정기관의 장에게 그 조치를 요구할 수 있다. 1. 위반행위의 시정명령 또는 중지명령 2. 위법행위로 인한 조치를 받았다는 사실의 공표명령 또는 게시명령 3. 기관경고 4. 기관주의,,,2,google/gemma-4-26b-a4b-it,deepseek/deepseek-v4-flash,0.8,1
